model	secs_taken	Score_False	Score_True	num_runs	success_rate	failure_rate	mean_score	variance	trace_id
o4-mini	31.6	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4o	32.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1-nano	6.9	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1-mini	8.8	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1	10.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-5.1	11.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-5	39.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
o4-mini	44.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4o	69.1	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1-nano	6.2	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4.1	8.4	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4.1-mini	8.8	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-5.1	11.5	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
o4-mini	41.9	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-5	42.9	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4o	59.7	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
gpt-4.1-nano	6.4	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-4.1	8.8	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-4.1-mini	9.1	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-5.1	12.3	3	2	5	0.4	0.6	0.4	0.24	multi_position_hiring_MS-001_20260224_230725
gpt-4o	15.7	0	5	5	1.0	0.0	1.0	0.0	multi_position_hiring_MS-001_20260224_230725
o4-mini	45.2	2	3	5	0.6	0.4	0.6	0.24	multi_position_hiring_MS-001_20260224_230725
gpt-5	54.7	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-001_20260224_230725
gpt-4.1-nano	6.6	4	1	5	0.2	0.8	0.2	0.16000000000000003	pipeline_with_communication_E2E-002_20260224_233216
gpt-4.1-mini	8.5	0	5	5	1.0	0.0	1.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
gpt-5.1	11.6	5	0	5	0.0	1.0	0.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
gpt-4.1	12.0	4	1	5	0.2	0.8	0.2	0.16000000000000003	pipeline_with_communication_E2E-002_20260224_233216
gpt-4o	22.5	5	0	5	0.0	1.0	0.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
o4-mini	40.4	0	5	5	1.0	0.0	1.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
gpt-5	51.9	5	0	5	0.0	1.0	0.0	0.0	pipeline_with_communication_E2E-002_20260224_233216
gpt-4.1-nano	5.6	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4.1-mini	7.1	3	2	5	0.4	0.6	0.4	0.24	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4o	8.5	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4.1	10.3	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-5.1	11.0	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-5	40.3	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
o4-mini	48.2	5	0	5	0.0	1.0	0.0	0.0	plan_review_auto_approval_PLAN-001_20260224_233638
gpt-4.1-nano	6.7	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4.1-mini	8.2	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-5.1	11.7	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4.1	18.9	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4o	22.4	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
o4-mini	32.7	4	1	5	0.2	0.8	0.2	0.16000000000000003	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-5	35.4	5	0	5	0.0	1.0	0.0	0.0	stakeholder_driven_evaluation_PLAN-003_20260224_234526
gpt-4.1-nano	5.0	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4.1	6.2	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4o	6.2	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4.1-mini	7.0	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-5.1	8.5	2	3	5	0.6	0.4	0.6	0.24	two_agent_sequence_EVAL-002_20260224_223237
o4-mini	21.0	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-5	29.2	0	4	4	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-002_20260224_223237
gpt-4.1-nano	4.8	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4.1	5.9	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4o	6.9	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4.1-mini	7.3	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-5.1	8.6	1	4	5	0.8	0.2	0.8	0.16000000000000003	compliance_gated_pipeline_COMP-003_20260225_121557
o4-mini	19.7	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-5	26.9	0	5	5	1.0	0.0	1.0	0.0	compliance_gated_pipeline_COMP-003_20260225_121557
gpt-4.1-nano	6.0	2	3	5	0.6	0.4	0.6	0.24	function_based_random_selector_SRC-002_20260224_224846
gpt-4o	9.0	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-4.1	9.4	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-4.1-mini	9.4	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-5.1	11.1	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-5	38.5	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
o4-mini	41.2	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-002_20260224_224846
gpt-4.1-nano	7.4	4	1	5	0.2	0.8	0.2	0.16000000000000003	multi_position_hiring_MS-002_20260224_231030
gpt-4.1-mini	8.7	1	4	5	0.8	0.2	0.8	0.16000000000000003	multi_position_hiring_MS-002_20260224_231030
gpt-5.1	12.4	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-4.1	28.2	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-5	47.8	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
o4-mini	65.9	1	4	5	0.8	0.2	0.8	0.16000000000000003	multi_position_hiring_MS-002_20260224_231030
gpt-4o	68.2	5	0	5	0.0	1.0	0.0	0.0	multi_position_hiring_MS-002_20260224_231030
gpt-4.1-nano	6.3	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4.1	8.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4.1-mini	8.6	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-5.1	9.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4o	14.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
o4-mini	30.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-5	40.0	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SCHED-001_20260224_232248
gpt-4.1-nano	4.3	0	5	5	1.0	0.0	1.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4.1-mini	6.3	3	2	5	0.4	0.6	0.4	0.24	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4.1	6.6	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-5.1	8.6	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4o	25.5	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
o4-mini	27.6	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-5	29.1	5	0	5	0.0	1.0	0.0	0.0	bad_manager_premature_finish_COMM-001_20260216_213138
gpt-4.1-nano	5.6	0	5	5	1.0	0.0	1.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4.1-mini	6.7	0	5	5	1.0	0.0	1.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4.1	6.7	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4o	7.6	5	0	5	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-5.1	10.2	5	0	5	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-5	33.4	5	0	5	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
o4-mini	34.7	5	0	5	0.0	1.0	0.0	0.0	bad_manager_wrong_agent_EVAL-001_20260216_212204
gpt-4.1-nano	5.4	0	5	5	1.0	0.0	1.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-4o	6.6	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-4.1	7.1	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-4.1-mini	7.3	4	1	5	0.2	0.8	0.2	0.16000000000000003	function_based_round_robin_EVAL-001_20260216_203404
gpt-5.1	9.0	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
o4-mini	33.9	5	0	5	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-5	52.9	4	0	4	0.0	1.0	0.0	0.0	function_based_round_robin_EVAL-001_20260216_203404
gpt-4.1-nano	5.0	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4o	6.7	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4.1	6.8	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4.1-mini	7.2	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-5.1	8.9	1	4	5	0.8	0.2	0.8	0.16000000000000003	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-5	33.3	4	0	4	0.0	1.0	0.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
o4-mini	36.0	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_214607
gpt-4.1-nano	5.5	2	3	5	0.6	0.4	0.6	0.24	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4o	8.1	5	0	5	0.0	1.0	0.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4.1-mini	8.9	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-5.1	9.2	2	3	5	0.6	0.4	0.6	0.24	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4.1	9.4	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-5	34.3	0	4	4	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
o4-mini	40.5	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_214819
gpt-4.1-nano	4.8	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4o	8.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4.1	8.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4.1-mini	9.2	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-5.1	10.0	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-5	33.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_premature_done_EVAL-001_20260216_210640
o4-mini	33.8	2	3	5	0.6	0.4	0.6	0.24	bad_ledger_premature_done_EVAL-001_20260216_210640
gpt-4.1-nano	5.7	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4o	7.9	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4.1-mini	7.9	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4.1	9.4	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-5.1	10.1	2	3	5	0.6	0.4	0.6	0.24	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-5	39.3	3	2	5	0.4	0.6	0.4	0.24	multi_interview_scheduling_SCHED-001_20260216_215817
o4-mini	50.7	0	5	5	1.0	0.0	1.0	0.0	multi_interview_scheduling_SCHED-001_20260216_215817
gpt-4.1-nano	5.7	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4o	7.7	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4.1-mini	8.8	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4.1	10.8	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-5.1	11.6	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-5	34.2	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
o4-mini	40.0	5	0	5	0.0	1.0	0.0	0.0	parallel_position_pipeline_PLAN-002_20260216_203042
gpt-4.1-nano	5.7	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4.1	7.5	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4.1-mini	7.9	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-5.1	9.4	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4o	25.5	5	0	5	0.0	1.0	0.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
o4-mini	30.4	1	4	5	0.8	0.2	0.8	0.16000000000000003	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-5	37.3	0	5	5	1.0	0.0	1.0	0.0	sourcing_with_all_channels_SRC-003_20260216_220639
gpt-4.1-nano	5.9	0	5	5	1.0	0.0	1.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4.1	6.3	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4o	7.2	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4.1-mini	7.6	0	5	5	1.0	0.0	1.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-5.1	10.7	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
o4-mini	33.8	5	0	5	0.0	1.0	0.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-5	64.7	3	0	3	0.0	1.0	0.0	0.0	bad_specialist_wrong_tool_EVAL-001_20260216_194834
gpt-4.1-nano	6.5	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4.1	7.7	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4.1-mini	8.4	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-5.1	12.1	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
o4-mini	37.4	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-5	55.0	4	0	4	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4o	66.4	5	0	5	0.0	1.0	0.0	0.0	bad_facts_hallucinated_SRC-001_20260216_212644
gpt-4.1-nano	10.2	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4.1-mini	13.1	0	5	5	1.0	0.0	1.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-5.1	15.4	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-5	46.9	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4.1	71.0	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
o4-mini	85.5	2	3	5	0.6	0.4	0.6	0.24	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4o	143.8	5	0	5	0.0	1.0	0.0	0.0	bad_plan_never_updates_EVAL-001_20260216_211606
gpt-4.1-nano	5.5	0	5	5	1.0	0.0	1.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-4.1-mini	6.4	0	5	5	1.0	0.0	1.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-4o	6.4	3	2	5	0.4	0.6	0.4	0.24	specialist_tool_use_SCHED-001_20260216_162942
gpt-4.1	7.1	3	2	5	0.4	0.6	0.4	0.24	specialist_tool_use_SCHED-001_20260216_162942
gpt-5.1	9.9	5	0	5	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
o4-mini	26.0	5	0	5	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-5	40.8	4	0	4	0.0	1.0	0.0	0.0	specialist_tool_use_SCHED-001_20260216_162942
gpt-4.1-nano	6.4	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4o	7.4	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4.1	8.0	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4.1-mini	8.1	0	5	5	1.0	0.0	1.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-5.1	8.3	5	0	5	0.0	1.0	0.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
o4-mini	37.1	3	2	5	0.4	0.6	0.4	0.24	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-5	51.7	1	0	1	0.0	1.0	0.0	0.0	fan_out_fan_in_topology_MS-001_20260216_161419
gpt-4.1-nano	6.6	0	5	5	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
gpt-4.1	7.0	0	5	5	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
gpt-4o	7.9	0	5	5	1.0	0.0	1.0	0.0	market_research_driven_hiring_MKT-001_20260216_223038
